radius ,lambda,r/ lambda,Theta (incident angle),Background1 RI,Backgrnd2 RI,Ri1 of particle 1,Loss1 of particle 1,Kai1 of particle 1,Ri2 of particle 2,Loss2 of particle 2,Kai2 of particle 2,Ri3 of particle 3,Loss3 of particle 3,Kai3 of particle 3,Force F1,Force F2,Force F3,Class Label
75,680,0.110294118,25,1,1,1.45,0,0,0.13544,3.882,0,1.45,0,1,pull,push,lateral,Positive Class
130,515,0.252427184,25,1,1,3.88,0.0189,0.5,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
130,515,0.252427184,25,1,1,3.88,0.0189,0.5,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
130,515,0.252427184,25,1,1,3.88,0.0189,0.5,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
130,515,0.252427184,25,1,1,3.88,0.0189,0.5,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
130,515,0.252427184,25,1,1,3.88,0.0189,0.5,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,3.88,0.0189,0.5,0.42415,2.4721,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,3.88,0.0189,0.5,0.42415,2.4721,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,3.88,0.0189,0.5,0.42415,2.4721,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,3.88,0.0189,0.5,0.42415,2.4721,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,3.88,0.0189,0.5,0.38236,2.5938,0,1.45,0,0.5,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,3.88,0.0189,0.5,0.38236,2.5938,0,1.45,0,1,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,3.88,0.0189,0.5,0.38236,2.5938,0,1.45,0,1,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,3.88,0.0189,0.5,0.38236,2.5938,0,1.45,0,0,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,3.88,0.0189,0.5,0.38236,2.5938,0,1.45,0,0,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,3.88,0.0189,0.5,0.38236,2.5938,0,1.45,0,0,push,push,Push,Negative Class
75,680,0.110294118,25,1,1,0.13544,3.882,0,0.13544,3.882,0,1.45,0,1,push,push,lateral,Negative Class
150,605,0.247933884,25,1,1,0.2372,3.1329,0,0.2372,3.1329,0,1.45,0,-1,push,push,lateral,Negative Class
152,610,0.249180328,25,1,1,0.22568,3.1919,0,0.22568,3.1919,0,1.45,0,1,push,push,lateral,Negative Class
130,515,0.252427184,25,1,1,0.71912,2.225,0,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
130,515,0.252427184,25,1,1,0.71912,2.225,0,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
130,515,0.252427184,25,1,1,0.71912,2.225,0,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
130,515,0.252427184,25,1,1,0.71912,2.225,0,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
130,515,0.252427184,25,1,1,0.71912,2.225,0,0.71912,2.225,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,0.42415,2.4721,0,0.42415,2.4721,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,0.42415,2.4721,0,0.42415,2.4721,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,0.42415,2.4721,0,0.42415,2.4721,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,0.42415,2.4721,0,0.42415,2.4721,0,1.45,0,0.5,push,push,Push,Negative Class
140,550,0.254545455,25,1,1,0.38236,2.5938,0,0.38236,2.5938,0,1.45,0,0.5,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,0.38236,2.5938,0,0.38236,2.5938,0,1.45,0,1,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,0.38236,2.5938,0,0.38236,2.5938,0,1.45,0,1,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,0.38236,2.5938,0,0.38236,2.5938,0,1.45,0,0,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,0.38236,2.5938,0,0.38236,2.5938,0,1.45,0,0,push,push,Push,Negative Class
150,560,0.267857143,25,1,1,0.38236,2.5938,0,0.38236,2.5938,0,1.45,0,0,push,push,Push,Negative Class
100,700,0.142857143,25,1,1,1.45,0,0,0.131,4.0624,0,1.45,0,1,push,push,lateral,Negative Class
100,700,0.142857143,25,1,1,1.45,0,0,0.131,4.0624,0,1.45,0,-1,push,push,lateral,Negative Class
